Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
"The facility was adequate, but shabby. Staff was mostly indifferent to us.","This hotel was meant to be high end when it was built, but has descended to shabbiness.  The hardscapes - tiles, counters, floors and lighting are all beautiful, but the maintenance of the surfaces has not been kept up.  There was mold in the caulking around the bathtub.  I found a finger or toenail clipping in the carpet near the bed (YUK!) I noticed that there were scuff marks and signs of wear and tear on the trims. The clerk who checked us in was indifferent to us, not friendly at all.  Breakfast was good, but I would have liked to have some fresh fruit.","The bed was very comfortable, and the linens and towels were very clean.  Breakfast was hot and delicious. Housekeeping staff was friendly.",5.0,January 2023,"January 18, 2023",King Room,1,Couple,6,1,1,0,0,1,1,1,1,0,0,0.0018703271600317537
Still a pleasant stay all in all. I would come back again and probably . Still a good return .,"The toilet paper holder could have been attached to the wall instead of left on the shelf. I think someone forgot to repair it.
The room was a bit cramped. I think I will get a room with 2 double beds next time.
A suitcase stand would have been nice .","The breakfast was adequate. Would have preferred some form of protein like cheese or hard boiled eggs but in the Age of Covid difficult to assess clientele 's preferences.I
Rooms well stocked with coffee and tea supplies and bottled water.
Staff were very good. Room was clean.
Bed was comfortable and the microwave was much appreciated.
Location is excellent for my needs",6.0,November 2021,"November 28, 2021",Queen Room,2,Solo traveler,6,1,1,0,0,1,0,1,0,1,0,0.0018030721434206393
Very Good,The rooms further away from receptions doesn't get a wi-fi signal. The staff was a happy to change my room over though. Not many restaurants within a walking distance from the hotel,Decent room. Breakfast was simple but good,8.0,September 2022,"October 10, 2022",King Room,1,Solo traveler,6,1,1,0,0,0,1,1,1,0,0,0.0017817052938715245
Read several bad reviews but we found the hotel meet are needs. Staff were always helpful.,"The pillows are lumpy or flat. Not very comfortable. We mentioned the tub edging was peeling off and appeared to have mold. Hopefully they fix this.
Room was damp when AC was not on. Too bad there is no fan in the bathroom. 
 The bacon at the breakfast buffet was never cooked enough. 
Every evening on our return to the hotel we had to get a new door key card. Never had this occur before with other hotels. The card key deactivated every 24 hours. Staff were always patient, better than us. Lol","The room was clean, although in need of upgrading. But it was comfortable.  Breakfast was good.",6.0,September 2023,"September 12, 2023",King Room,6,Couple,6,1,1,0,0,0,1,1,1,0,0,0.001781705293871524
Disappointing,There were zero amenities. Their site said there was a pool but upon arrival there was not. There were few chanels to watch on the t.v and they stopped the shuttle buses that used to take you to the casino. Now you have to pay extra for a cab. It's very outdated. The rooms don't even a chair to sit on. And for a king bed they give 2 tiny pillows. The beds were hard and loud like they had rubber sheets or something.,The rooms were clean and the gave you water and hot breakfast. The eggs and hashbrowns were dry and over cooked but at least they gave a hot breakfast. Cleaning staff were friendly.,4.0,July 2022,"August 1, 2022",King Room,2,Couple,6,1,1,0,0,1,0,1,0,0,0,0.0017514799049713988
Perfection,Cleanliness,Everything was excellent from staff room and breakfast not forgeting the cleanliness,10.0,August 2023,"August 30, 2023",King Room,1,Solo traveler,6,1,1,0,0,1,0,1,0,0,0,0.0017514799049713988
Pleasant,"Hotel is dated, needs an upgrade. Had a hard time getting in the room, constantly having to get key cards redone and that didn't always help.",The room was a good size. Room service every day with fresh towels. The breakfast was very good.,6.0,August 2024,"August 13, 2024",Double Room with Two Double Beds,3,Solo traveler,6,1,1,0,0,1,0,1,0,0,0,0.0017514799049713988
"not bad, need improvements. staff was friendly","too old, hallway, air conditioner, shower","staff, breakfast, room was ok ok but not very good",5.0,May 2023,"May 22, 2023",Double Room with Two Double Beds,2,Family,6,1,1,0,0,1,0,1,0,0,0,0.0017514799049713988
"Below Average, no internet speed","1) the black lady who handles breakfast need proper training how to behave with customers. One day she scolded me for taking coffee cup with orange juice but I did exactly what she said, that ""help yourself"" so for keeping it dust free, i chose the cup with lid
2) tv does not have any great channels, tv in my room had lines and sometimes it was noisy without good picture quality, sometimes suddenly ok. I will post the photo soon about tv.
3) cleaning ladies are very lazy to work or clean the room if you are staying inside in the room for longer time. They will keep gossiping if we ask some towel or water bottle to them showing some kind of princess attitude. They keep cleaning the room which is already cleaned.
4) No room service breakfast but we need to go out in one common place where everyday same breakfast like bread and butter, waffle or pancake.
Note: this is not the place if you are looking to work from hotel remotely. Internet speed is very very slow. I think it would be common for most hotels.","I stayed in the hotel for two weeks, 1 week own and second week with booking.com. 
Receptionist who are mostly Indians are really good in nature. 
Room was good, cleaning ladies used to visit everyday.",3.0,February 2022,"February 18, 2022",King Room,7,Solo traveler,6,1,1,0,1,1,1,0,1,0,0,0.0017500525295383376
do NOT go here,"The staff are very cold and unhelpful, the breakfast staff were rude. the rooms aren’t clean, there was a stain on my sheet and my sister found a cockroach!! on top of that this hotel accepts rooms for prostitution. unbelievable! beware and avoid this place at all costs.",The location was decent and the rooms were big.,3.0,October 2021,"November 7, 2021",Double Room with Two Double Beds,3,Group,6,1,1,0,0,0,1,0,1,1,0,0.001731747083548324
