Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
A very nice and pleasant stay for our family,Reception personal was rude. I do not understand why. They are in most places very nice and polite but not here.,"We had junior suite for 2+2 person which were perfect. Two bathroom two tv. Very good beds. Two shower and separate bathtube. Very good connections everywhere. Very goog sound proofing. Nice view. One of the biggest free parking house ever seen, 13 floors atleast.",10,July 2024,"July 7, 2024",Superior Suite,1,Family,8.3
Fully satisfactory and a great value for the money. Will stay here again,"Getting from the parking house to the hotel was a bit complicated. Also it was a bit difficult to understand on the website, how the free parking worked.","The location is really fine - close to KDW and Wittenbergplatz Station but without the noise and busyness of the Ku'Dam. Walking distance to the very nice and charming neightborhood of Nollendorf. The free parking really is a great saving, when you arrive by car. The rooms were a good size.",8.0,July 2024,"August 21, 2024",Deluxe Double Room,3,Couple,8.3
i would definitely use again in my next visit to Berlin,i liked all of it,"hotel is next to 12 story car park ( Never seen such a big car park). 7 min walk from KDW, 5 min walk from metro U2. excellently connected, clean, in a close proximity of multiple restaurants and bars.",9.0,August 2024,"August 19, 2024",Deluxe Double Room,6,Couple,8.3
"Modern, clean, comfortable and ideally located",All good,"Clean, comfortable, helpful staff, good location, modern. When we needed a taxi, staff called them and they arrived within 3 minutes. Very impressed",9.0,August 2024,"August 19, 2024",Deluxe Twin Room,3,Family,8.3
Good hotel in a great location,Breakfast was too expensive,The location was very handy for everywhere in Berlin,7.0,August 2024,"August 18, 2024",Deluxe Double Room,3,Family,8.3
"Good location, but rather a design hotel than a comfortable one.","Design over functionality of the rooms. We struggled finding the plugs, the bathroom was without doors and with a transparent wall, it is ok for couples but it is odd for a group of friends not to have any privacy. And instant coffee for a 4 star hotel is a no go.","Location was perfect, and the parking was free.",7.0,August 2024,"August 16, 2024",Deluxe Double Room,3,Group,8.3
Greet,Everything was Nice,Location,8.0,August 2024,"August 10, 2024",Deluxe Double Room,3,Couple,8.3
"Centrally located, with large rooms, excellent breakfast, comfortable bed","Nothing.  For the reason we went, it was absolutely nice.","The room was large clean and very comfortable.  The breakfast was great with a lot of options.  The staff were very friendly, Christos and Andreas at the breakfast area were exceptional.",9.0,July 2024,"August 5, 2024",Deluxe Double Room,5,Couple,8.3
Wonderful,,"We were in hotel Riu for the second time and I can say that is always amazing! Beautiful rooms, perfect location near to the metro station, breakfasts are delicious and very well organized. Thank you for staying!",9.0,August 2024,"August 3, 2024",Deluxe Double Room,2,Couple,8.3
Wonderful,Found a sock under the bed from previous guests. Walls in toilet and skirting boards weren't very clean.,Room was very spacious. Excellent location. Bed really comfortable and great breakfast. All staff were really friendly particularly in the restaurant.,9.0,July 2024,"August 2, 2024",Junior Suite,4,Family,8.3
Great experience.  We would stay here again.,N/A,"Clean, modern rooms.  Exceptional breakfast.",9.0,July 2024,"July 31, 2024",Deluxe Twin Room,5,Family,8.3
Wonderful,,All was as expected,9.0,July 2024,"July 28, 2024",Superior Suite,2,Family,8.3
Big Bold and Good Value,The bar ran out of Bitters for a cocktail which was a bit dissapointiing for  such a large city centre Hotel.,Hotel was well ran and Breakfast was great. We had a lovely stay,8.0,July 2024,"July 28, 2024",Deluxe Twin Room,2,Couple,8.3
Wonderful,,Great location. Very friendly staff,9.0,July 2024,"July 22, 2024",Deluxe Twin Room,2,Solo traveler,8.3
na,na,na,8.0,July 2024,"July 20, 2024",Deluxe Double Room,3,Couple,8.3
Was pleasent,Certain staff in the day shift. When we checked in we requested a late check out for which the night shift told us to check with the morning shift staff. When we called in the morning they told it’s chargeable amount of 20euro while we went to down to discuss the matter then told us it’s 40 euro it was just he didn’t want to assist us to our convenience.,"Location, Room size &
Free Parking.",8.0,July 2024,"July 18, 2024",Deluxe Double Room,1,Couple,8.3
Perfect comfortable place to stay in a quiet but interesting part of town close to the U Bahn,Nothing,"Clean, comfortable, v convenient",8.0,July 2024,"July 17, 2024",Deluxe Double Room,3,Family,8.3
"Great value, met all of my needs.","My room was arctic cold, the controls had zero effect, and the duvets were summer weight. But the big negative is the ongoing building work,  I was offered a first room with scaffolding outside of my 12th floor window, but was then changed to a room, without  a view of the building work.

For people arriving by car don't forget to get a Umweltplakette Deutschland - an environmental badge that denotes the emissions of your car.  Without this pass you can get a 100 euro fine and sent out of the city centre.  We picked ours up at a TUV (basically the German MOT station) at a small town Rheine en-route, 6 euros, and you do need your V5C logbook..","Excellent access ariving by car, with a multi-storey garage with ample parking.  The room itself was ideal, in that it had a combination of tiles and wooden floors, a hugh bed and wow views of the city.  Breakfast was remarkable, both from the extensive offering and I would say value for money.  Nearby are some wonderful eclectic neighboughoods, such as the Winterfeldtplatz, off the main tourist locale, but in my opinion better value, and a truly great vibe.",8.0,July 2024,"July 16, 2024",Deluxe Double Room,3,Couple,8.3
Excellent 4 star hotel,Nothing,"Great location, good facilities, helpful staff, reasonable value for money",8.0,July 2024,"July 15, 2024",Deluxe Twin Room,2,Family,8.3
Thanks Riu series,Nothing,"Location ,Friendly Staff,very good AC",9.0,July 2024,"July 15, 2024",Deluxe Twin Room,4,Family,8.3
Modern style hotel with good location.,Breakfast if separately purchased was expensive. The gym should have more weight training equipment.,"Good location, clean, comfortable and modern style room. There was a gym or fitness room at the hotel.",8.0,June 2024,"July 9, 2024",Superior Suite,3,Family,8.3
