Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Villa 1,"Kitchen needed a deep clean not just a wipe down. Sofa had no support left and was very uncomfortable. Oven tempreture and settings worn off so tricky to use. Hardly any cooking utensils provided. Pools were great, but they are dated and one hydro slide was out of order.","Location, outdoor space, good size rooms, close to thermal pools where 3 day family pass a great deal. Air con. Large flat area for the kids to play on. Free wifi. Beautiful sunsets. Friendly staff.",5.0,January 2022,"January 14, 2022",Villa,2,Family,8.3,1,1,1,1,1,0,0,0,1,0,0.0006757117435782082
Very Good,"Sharing a two-bedroom unit with another booking, thin walls.","Location, staff, hot pools, space, room quality.",8.0,January 2023,"January 12, 2023",Basic Double Room with Shared Bathroom,3,Couple,8.3,1,1,1,0,1,0,0,0,1,0,0.0006724005223569545
"Fair price, lovely place, would stay again.",Bunk bed was very squeaky.,"Friendly staff, nice spacious rooms. very quiet location.",8.0,June 2023,"June 12, 2023",Deluxe Three-Bedroom Chalet,1,Couple,8.3,1,1,1,0,1,0,0,0,1,0,0.0006724005223569545
Hot pools and waterslide fun in,"I sounds funny but I would have liked a better dish soap be provided, one that cuts grease better. It seems common throughout New Zealand to use weak dish soap, so all the dishes feel greasy. They could also use some kind of shelf in the shower, to put shampoo onto, vs the floor of the shower.","The room was large  and  comfortable with  a lovely private deck backing  onto a green space. The bathroom was well lit and  spacious. The bed super comfy. Everything was clean  and there  was lots of  storage  space. The proximity to the hot pools and  the discount for entry was great. The staff were awesome - friendly, helpful, attentive, welcoming.",10.0,March 2024,"March 16, 2024",Studio,2,Couple,8.3,1,1,1,0,1,0,0,0,1,0,0.0006724005223569545
Great place for a peaceful retreat away from noisy cities,The unisex toilet n shower,"The location, the friendly staffs, the cleanliness of the room/cabin, the facilities..",9.0,February 2023,"February 8, 2023",Large Standard Cabin with Shared Bathroom,1,Group,8.3,1,1,1,0,1,0,0,0,1,0,0.0006724005223569545
"Overall it was a lovely stay, just a shame we couldn’t rest very well.","The people who stayed in the room next to us were noisy all night and day. 
kept waking us up which we know isn’t the resorts fault. 
The mattresses must be old as they weren’t very comfortable. we sunk right through and could feel the metal bedbase.","location was amazing, staff were exceptional and friendly. the shared facilities were very clean.",7.0,May 2022,"May 30, 2022",Basic Triple Room with Shared Bathroom,1,Group,8.3,1,1,1,0,1,0,0,0,1,0,0.0006724005223569545
Relaxing Getaway.,"The beds could've been a little comfortable but overall, we didn't mind.  Also, we were unaware with the change of fresh towels.  It only stated that replacement towels will be provided when using the pool facilities which we never used throughout our stay.  I just find it rather disappointing when cleaners were servicing all the rooms onsite.  A better understanding or explanation would've been helpful.","The location was superb, especially the scenic view of the lake and mountains from the deck.  The studio was clean and tidy, and very spacious.  Staff were customer friendly.  An awesome place to relax and enjoy with family and friends.  Would definitely stay there again.",9.0,December 2021,"December 29, 2021",Executive Studio,2,Family,8.3,1,1,1,1,1,1,0,0,1,0,0.000654009968334967
Enjoyable stay,"Upon arrival it did not look clean and that could be because the facilities are quite old. I noticed a few cob webs in the corners of the room. 
I had to question the daily service with the staff as the info said one thing but what we received was different. Why advise beds will be made if they aren't? I did what was instructed. Why would you not provide towels for all guests? I also noticed no extra blankets were available in the rooms.",I liked how family friendly the facilities are and the location. It's not too far from town and eating places. I liked the size as it was big enough space for a family of five. The staff were also friendly.,7.0,July 2024,"July 20, 2024",Two-Bedroom Apartment,3,Family,8.3,1,1,1,1,1,1,0,0,1,0,0.000654009968334967
Will look forward to coming again and again if offered a more ‘quiet and private’ option!,The room was excellent but the privacy was not so great. Other cabins looked directly into #5 and closing curtains was the only option. The adjoining room was also VERY NOISY. We heard parents screaming at kids and kids jumping on beds and crashing around in their kitchen. That was a bit disappointing. Check aircon regularly…it smelt weird.,"Loved the double glazing in the room - very cozy at night. Spacious. All we needed was provided for dining/ cooking gear, good supply of hot drink selection and towel service were superb. Cleanliness was good and I’m super fussy in that aspect. Loved the proximity to pools and spa, Hilton Hotel restaurant, other attractions and Taupō township.",8.0,January 2024,"January 7, 2024",One-Bedroom Apartment,2,Couple,8.3,1,1,1,1,1,0,1,0,1,0,0.0006429661963121373
Good,"Everything else was quite nice, but the cabin we were staying in was probably also a family cabin, with a door separating the two rooms. As we were just 2 people, the other part of the cabin was rented to another group. The door separating the two spaces was locked, but there was no insulation of course which made it feel like there was no privacy. I was woken up during the night by someone in the other room snoring.","Staff was very vriendly, on-site parking, cute cabin, clean.",7.0,February 2024,"February 18, 2024",Basic Double Room with Shared Bathroom,1,Couple,8.3,1,1,1,1,1,0,0,0,0,0,0.0006385003857419881
pleasant enjoyable and comfortable will be back.,"I was allocated a car park which was taken by my neighbours the evening prior to my departure.  When I approached them to ask to move as we were leaving early and needed to load bags and bikes they were not please and grumbled.  Even checking on who owned the car was a mission which wasn't well received by anyone. 
It seems the parking policy needs to be communicated more clearly.  Which car park is for each room.  Always a difficult one.","Room was well presented and warm.  Very clean and good facilities. staff were very pleasant, friendly and helpful.",8.0,July 2023,"August 8, 2023",Large Standard Cabin with Shared Bathroom,2,Family,8.3,1,1,1,1,1,0,0,0,0,0,0.0006385003857419881
"Clean and simple family friendly accommodation, with waterpark a bonus","Beds weren't super comfortable - there was a dip in the middle of the double which was awkward. Kitchen was billed as self contained but we had one pot without a lid and a frypan with a loose handle. No oven, just a microwave/convection hybrid with no instruction manual which limited us a lot. Lack of proper changeroom for women at the waterpark was a bummer too (cubicle with a curtain was not the most comfortable or secure). Consider adding flyscreens in any future renovations - would be nice to enjoy the breeze without letting in the bugs (and there were lots of those!)","The cabins were nice and tidy and quiet, didn't hear a peep from any other guests so felt nice and secluded. The water park was fun despite the renovations - the four year old had the time of her life! Living space was a good size for us. Close enough to town centre to explore everything. Staff were very friendly and it was nice having a discount at the waterpark because of all the work. Complementary milk was a nice touch too. Shower was nice, Hot and good pressure, and nice to have the airing rack for wet swimwear.",8.0,April 2024,"April 8, 2024",Chalet,3,Group,8.3,1,1,1,1,1,0,0,0,0,0,0.0006385003857419881
"Comfortable, homey stay in chalet. :)","The kitchen items weren't super clean - lip marks on glasses and we rewashed everything we used. Lady at the spa reception the night we stayed was super rude - we got in before the cutoff (8pm) but she scolded us for being ""very late"" even though we were there before the last call and was generally very standoffish. Considering we paid $56 for 25 mins in the hot pool, she could've been a bit nicer.","Beds were comfy, chalet was spacious and warm. Bathroom had heated floor! The spa when we got in was nice, front desk crew was also lovely and helpful. Good-size TV and the wi-fi was super useful. A nice spot to break the driving in half coming back to AKL from Wellington :)",9.0,October 2023,"October 26, 2023",Chalet,1,Group,8.3,1,1,1,1,1,0,0,0,0,0,0.0006385003857419881
Amazing place for a family getaway,More so feedback: We ordered takeout and needed more rubbish space (only a small bin in the family sized unit). Luckily we always carry rubbish bags when travelling so it wasn't left out before we departed.,"The welcome I was met with at Reception was awesome! The lady that checked us in was so friendly, chatty and helpful. The accommodation was a perfect size for our family and the spa was amazing for the whole family.",10.0,June 2023,"July 21, 2023",Executive Studio,1,Family,8.3,1,1,1,1,1,0,0,0,0,0,0.0006385003857419881
Lovely,"I was inadvertently given a key for the wrong room. I did realise some hours later when I noticed the bedding configuration was different to what I'd booked. Luckily, this was just before the other guests had checked into the room as it would have been awkward if they'd come in when I was in the room, or worse if I'd been out if when they arrived to find all of my personal items in the space! The other negative is that the conjoined rooms are very noisy - I could hear EVERYTHING from the adjacent guests (talking, arguing, hocking, thumping about and the child jumping off the bunk). 

Also, the pool area could do with some a refresh - some deep cleaning/maintenance/refurbishment as there were areas where the paint was coming off, lots of weeds etc. One of the waterslides was closed off. The private pools are somewhat creepy and not at all what I expected. They're dark and dingy, and all I could hear was conversations from the family next to me so I didn't spend long in there at all.","I had a great stay at Debretts. All of the staff across the facility were amazing. Welcoming, friendly and nothing was too much trouble. My visit included accommodation plus use of the pool and a spa treatment, it was all very nice. I used the pools, visited the spa in the morning when it was quieter, then my room was ready so I checked in. After exploring the town and having a meal I came back to the pools again in the evening. 

I booked one of the cheaper rooms with shared facilities, as it was just a short 1-night stay so I didn't mind not having a private bathroom too much. I can't comment much on the shared kitchen/lounge as I didn't use but the bathrooms were fine.  

Looks like a great all-round venue with a variety of accomm options for all types of travellers including campervans.",8.0,April 2023,"May 12, 2023",Basic Double Room with Shared Bathroom,1,Solo traveler,8.3,1,1,1,1,1,0,0,0,0,0,0.0006385003857419881
