Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveller Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Will come back for a third time.,Not full stars because they gave me a room for disabled people so everything specially in the bathroom was built  a little too low for me.,"It was my second time in Tromsø and also second time in this Radisson Blue. The location is perfect because it’s so close to everything and almost all the tours you book start from here or at least close by. The beds are really comfy which I don’t say often about a hotel bed. Everything is nice and clean and it’s really quite too. My experience they have the best breakfast buffet I’ve ever had in any hotel. Everything is fresh and you have a big selection. 
Staff is always really helpful and friendly.",8.0,January 2022,12 January 2022,Small Room,4,Solo traveller,8.3,1,1,0,0,1,0,1,0,1,0,0.001221718569546999
"On the whole, very pleasant.","Twice my room wasn’t cleaned and the days it was, things were not done (such as replenishing tea, replacing used wine glasses and coffee cups). 
Also the room was weirdly looked into by the adjacent corridor.",Breakfast was excellent. Location and view from room was lovely. Staff were very friendly.,8.0,March 2024,2 March 2024,Superior Room with Sea View,5,Couple,8.3,1,1,0,0,1,0,1,0,1,0,0.001221718569546999
A lovely place to convelese after leaving Tromso Hospotal.,The room lacked furniture. Only one comfortable chair and no drawers.,"The location, the breakfast , the room size the reception and dining staff.",8.0,June 2023,5 July 2023,Superior Room with Sea View,2,Couple,8.3,1,1,0,0,1,0,1,0,1,0,0.001221718569546999
"Great stay, nice hotel, good service and friendly staff","Not much not to like! We have stayed in this hotel a couple of times before so we know what to expect. It has always been great. Perhaps, a bath as well as a shower in the bath room would be nice. Sometimes the room is a little chilly because you can hardly adjust the heater. But we received quickly an extra duvet and bed sheets.","It is a super nice hotel situated in a prime location in Tromso. Everything what you need is close by. The hotel rooms are nice and clean, and the hotel staff is very friendly and gives good service. We received an upgrade and breakfast for free. And a small mistake with ordering food in the room was very quickly resolved. Very nice, we will come back again!",9.0,January 2022,15 January 2022,Standard Room,1,Couple,8.3,1,1,0,0,1,0,1,0,1,0,0.001221718569546999
Great hotel!,"- The cleaning in the room could have been a bit better. Don't get me wrong, it wasn't dirty or anything. Just had more expectations from such a hotel for the little things. But it was good.
- The chromecast would not accept YouTube for whatever reason, which was also a bit of a let down.","- Breakfast is good and varied. 
- The staff is nice. 
- Most of the trips/experiences start from or near the hotel, so the location is very good. 
- The view from the window is also amazing.
- Got an upgraded room which was amazing",9.0,December 2022,7 December 2022,Small Room,4,Couple,8.3,1,1,0,0,1,0,1,0,1,0,0.001221718569546999
Great stay,The rooms did get quite warm and there didn’t seem to be any air con.,Hotel is in a perfect location. Our room was always cleaned each morning and the bed very comfy. The breakfast buffet was very tasty and well replenished. The staff were also so helpful with everything.,9.0,March 2023,9 March 2023,Small Room,3,Couple,8.3,1,1,0,0,1,0,1,0,1,0,0.001221718569546999
Comfortable room with a wonderful view,We were happy with everything. The bathrooms weren't as modern as the rest of the room but clean and very functional so nothing to complain about. 😉,"We were welcomed warmly and given a very nice room, which was an excellent start to our honeymoon. Check in and check out was very quick and convenient. 
The hotel was easy to reach from the airport by public transportation, it was very centrally located within Tromsø and we had an amazing view of the harbour from our room in the 8th floor. Breakfast was plentiful and delicious.
In addition, we received helpful advice about places to go for dinner rather late at night and the bed was really comfortable! 👌",9.0,July 2022,23 July 2022,Small Room,1,Couple,8.3,1,1,0,0,1,0,1,0,1,0,0.001221718569546999
Overall excellent.,They could have arranged making the beds without waiting for special requests,"Breakfast was excellent. Room & location also excellent but special mention for all front desk staffs - Christian, Frank and all the ladies were all very cooperative and polite.",10.0,May 2023,1 June 2023,Premium Room with Sea and Mountain View,3,Family,8.3,1,1,0,0,1,0,1,0,1,0,0.001221718569546999
"Central location, quality as expected for the Radisson price",Was initally charged again for the already prepaid room but got it sorted out. Hygienic products are all in small separate plastic bottles which isn't that sustainable.,"Clean room, central location, express check-out. There is a choice of warm food you need to separately order at breakfast, but the selection was more than enough and the staff was friendly.",8.0,September 2022,16 September 2022,Standard Room,1,Group,8.3,1,1,0,0,1,0,1,0,1,0,0.001221718569546999
great place for your tromso adventure at a competitive price,"the room was small overall when you factor in the cost 
bottled water only if you're a Radisson rewards member","great location with most tour groups leaving from just outside or close to the hotel, as well as close access to the main street in tromso 
overall good service 
great breakfast 
great city view from our room (I know some of the room views aren't great, ask for city view)",8.0,December 2022,8 January 2023,Standard Room,4,Couple,8.3,1,1,0,0,1,0,1,0,1,0,0.001221718569546999
